Rank,Week,SourceSubnet,Connections,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts,Difference,Color
17,Apr 2020,124,64936,35767198870,418835678485,454602877355,153,6461,22035,394,383068479615,1
18,Apr 2020,221,9955,10825589965,438012509552,448838099517,32,983,7866,268,427186919587,1
19,Apr 2020,70,67071,35236138886,413447879364,448684018250,117,6084,20006,386,378211740478,1
20,Apr 2020,235,813521,11138130402,424167396097,435305526499,2,1165,28232,2,413029265695,1
21,Apr 2020,73,82160,58568191113,370646608141,429214799254,103,4560,18583,316,312078417028,1
22,Apr 2020,133,79748,48987847573,377085932227,426073779800,127,7638,21541,1210,328098084654,1
23,Apr 2020,123,72178,20597889549,392212590433,412810479982,137,6399,21160,564,371614700884,1
24,Apr 2020,98,74327,29084265961,369446442295,398530708256,137,8015,21979,2276,340362176334,1
25,Apr 2020,195,56950,28101053178,366382126532,394483179710,176,5790,23500,294,338281073354,1
26,Apr 2020,210,2220,312105822409,79719305076,391825127485,2,1357,1,2066,232386517333,2
27,Apr 2020,171,63182,23090567877,359975137485,383065705362,142,6620,21848,944,336884569608,1
28,Apr 2020,132,66082,28003585880,349892548598,377896134478,152,6531,21995,389,321888962718,1
29,Apr 2020,134,71429,23505052192,329490265111,352995317303,143,8462,21525,2319,305985212919,1
30,Apr 2020,112,55363,17885686301,308312470875,326198157176,128,5796,20292,319,290426784574,1
31,Apr 2020,48,80958,5558504409,296247707615,301806212024,1,306,16274,26,290689203206,1
32,Apr 2020,59,6101,181813294803,111541940216,293355235019,5,617,4803,1758,70271354587,2
33,Apr 2020,45,5775,9944210635,207740254254,217684464889,1,974,4733,162,197796043619,1
34,Apr 2020,94,50106,31537709704,183958761986,215496471690,4,4496,20777,1621,152421052282,1
35,Apr 2020,16,55062,5690480710,182007447652,187697928362,10,1301,21711,25,176316966942,1
36,Apr 2020,90,24691,79125220342,103166691605,182291911947,51,2045,15312,500,24041471263,1
37,Apr 2020,197,24230,13860002954,161417795431,175277798385,171,3057,14301,133,147557792477,1
38,Apr 2020,85,15649,71014792839,55716862793,126731655632,83,2060,10163,30,15297930046,2
39,Apr 2020,184,29268,3799835718,119381461442,123181297160,9,3038,18485,124,115581625724,1
40,Apr 2020,119,12082,7291902502,101210657736,108502560238,51,546,9569,19,93918755234,1
41,Apr 2020,118,20772,5815213142,97144575527,102959788669,69,1610,11681,530,91329362385,1
42,Apr 2020,198,24901,3439304659,93568999650,97008304309,1,2483,12574,168,90129694991,1
43,Apr 2020,74,21030,34445016273,51550092525,85995108798,59,2310,13518,54,17105076252,1
44,Apr 2020,101,24849,29963007635,55761881357,85724888992,29,3388,10476,3180,25798873722,1
45,Apr 2020,181,17502,16176431648,64084699334,80261130982,56,904,11050,44,47908267686,1
46,Apr 2020,239,7385,1344291690,75039147740,76383439430,24,151,1555,2,73694856050,1
47,Apr 2020,204,4168,2768608814,70765933797,73534542611,2,695,3792,99,67997324983,1
48,Apr 2020,117,11173,37165119692,32481454770,69646574462,18,2031,9833,21,4683664922,2
49,Apr 2020,92,15702,1639960379,61131935224,62771895603,43,483,11183,21,59491974845,1
50,Apr 2020,250,9747,1431180511,58152348741,59583529252,9,333,7406,8,56721168230,1
51,Apr 2020,4,13563,3311135469,53136576026,56447711495,12,1254,10651,17,49825440557,1
52,Apr 2020,51,16380,3612758044,52280911851,55893669895,42,1583,10916,747,48668153807,1
53,Apr 2020,165,17494,5274765708,50402616099,55677381807,18,1559,12287,83,45127850391,1
54,Apr 2020,91,11316,5393001407,44489112539,49882113946,43,735,9008,17,39096111132,1
55,Apr 2020,104,12109,3651135387,45870767258,49521902645,27,758,8603,11,42219631871,1
56,Apr 2020,122,4852,9508165807,37603420068,47111585875,12,906,4409,70,28095254261,1
57,Apr 2020,99,11905,1994466858,44246148233,46240615091,24,1380,9115,61,42251681375,1
58,Apr 2020,246,6003,1114223391,44787439395,45901662786,77,277,3160,2,43673216004,1
59,Apr 2020,225,18776,17067877276,27399271059,44467148335,23,632,13202,129,10331393783,1
60,Apr 2020,179,4876,12927913268,31130151725,44058064993,13,873,3454,784,18202238457,1
61,Apr 2020,130,24314,14224641967,27740499399,41965141366,34,1558,13251,14,13515857432,1
62,Apr 2020,129,12493,2231748915,37578059518,39809808433,39,1031,8825,13,35346310603,1
63,Apr 2020,7,9260,8992048544,30258900247,39250948791,24,1492,8165,53,21266851703,1
64,Apr 2020,89,13172,4976449117,33158334931,38134784048,38,1105,9182,18,28181885814,1
65,Apr 2020,215,8539,12797384811,24746317198,37543702009,28,998,6243,753,11948932387,1
66,Apr 2020,138,3237,599951476,34869782899,35469734375,4,215,2671,2,34269831423,1
67,Apr 2020,142,28805,1203782641,33160228465,34364011106,60,119,13059,1582,31956445824,1
68,Apr 2020,29,18843,6980094752,24913478506,31893573258,5,1867,11332,8,17933383754,1
69,Apr 2020,150,14214,10821660454,20952234113,31773894567,22,1280,9675,406,10130573659,1
70,Apr 2020,159,4427,1395396601,29356053423,30751450024,15,531,3932,5,27960656822,1
71,Apr 2020,125,1425,16231531174,12053054107,28284585281,8,194,1364,4,4178477067,2
72,Apr 2020,52,3210,457539104,26888261490,27345800594,35,354,2907,141,26430722386,1
73,Apr 2020,156,6075,8124276888,18435882627,26560159515,15,878,5074,4,10311605739,1
74,Apr 2020,44,1184,3220204638,20072037976,23292242614,1,286,1133,11,16851833338,1
75,Apr 2020,145,3382,355229721,22242264054,22597493775,18,131,2916,2,21887034333,1
76,Apr 2020,234,9230,3562521949,18882770982,22445292931,32,965,7489,38,15320249033,1
77,Apr 2020,168,6940,10227113354,12206396549,22433509903,33,1047,5113,777,1979283195,1
78,Apr 2020,83,3666,1558232981,20853260043,22411493024,15,273,3227,7,19295027062,1
79,Apr 2020,56,10201,2277470708,19325713120,21603183828,32,726,8141,6,17048242412,1
80,Apr 2020,149,7983,3928098488,17327139061,21255237549,20,640,6084,249,13399040573,1
81,Apr 2020,155,5927,980415270,17160162945,18140578215,28,273,4355,727,16179747675,1
82,Apr 2020,178,6797,1904963809,16211350322,18116314131,14,704,5572,5,14306386513,1
83,Apr 2020,200,5428,332399407,17729974635,18062374042,41,142,4945,4,17397575228,1
84,Apr 2020,209,2088,288239856,17442166146,17730406002,6,177,1871,132,17153926290,1
85,Apr 2020,196,2642,302638252,17375580903,17678219155,23,121,2063,2,17072942651,1
