SourceSubnet,Conns,Outbound,Inbound,TotalBytes,SourceIPs,TargetIPs,SourcePorts,TargetPorts
203,125219,846061644,3526670336,4372731980,256,10073,28969,412
214,100469,390351769,3194417550,3584769319,256,10818,30342,1078
75,68885,373253970,3071860133,3445114103,256,8608,27546,682
81,55268,1550068383,1643896221,3193964604,256,6988,29192,729
207,103123,520799225,2293177315,2813976540,256,11995,31768,2144
176,102454,307768408,2463259770,2771028178,256,11734,31327,1708
0,247006,277960382,2487962223,2765922605,256,13587,61573,5077
183,75033,473889105,2068908548,2542797653,256,9807,29136,1345
174,113129,240090643,2223929166,2464019809,256,10870,29389,857
11,108934,361552134,1871885166,2233437300,256,10102,47395,5247
96,233968,1492013653,527033999,2019047652,256,15773,37303,15949
5,684546,151880511,1147751771,1299632282,256,19653,64655,6885
248,51631,41001258,1056719134,1097720392,256,8971,25363,1249
157,36663,878388002,212644082,1091032084,256,6057,18722,338
226,46276,65115434,853250457,918365891,256,8994,24463,744
242,202728,202270911,617984256,820255167,256,13288,37695,6857
3,90556,152116197,613048353,765164550,256,8353,31187,7646
50,475375,483580918,127765605,611346523,256,72742,23960,631
23,29273,15422156,567546857,582969013,256,7168,19695,699
22,39116,22879789,555677978,578557767,256,8297,21714,715
53,75362,431811978,88436679,520248657,256,9969,27319,8053
177,46054,183852036,333498854,517350890,256,7992,22370,932
172,98961,59356695,457917341,517274036,256,7544,30049,703
21,56201,60102830,301065191,361168021,256,9722,26431,1411
199,414302,276993125,9851382,286844507,256,43977,25389,2594
151,39171,7286562,278166201,285452763,256,8240,20915,5772
192,154264,66581725,190457518,257039243,256,8499,20248,485
126,55894,9812900,247108317,256921217,256,8817,26141,1776
86,310894,133695242,113769442,247464684,256,12804,29626,917
102,32284,75738866,81122414,156861280,256,7613,19597,665
10,39983,4307005,97665095,101972100,256,7531,20309,5815
88,32982,34078437,34024655,68103092,256,5983,21871,356
47,38024,11206446,50503110,61709556,256,7654,20835,5278
68,114094,54230509,3251808,57482317,256,9006,20593,793
19,243461,29275727,24228295,53504022,256,14995,37813,7165
13,37563,4332923,40112499,44445422,256,8126,20872,890
135,29533,3675537,32808617,36484154,256,7467,19952,705
114,28371,7704075,28484669,36188744,256,7242,19501,645
72,213162,24537944,10048970,34586914,256,15104,36786,6199
220,140286,27692427,5482228,33174655,256,11894,30269,1186
26,24682,1374467,20234854,21609321,256,6133,19137,417
109,28714,2678581,18811771,21490352,256,7429,19312,795
111,29998,17465249,3953661,21418910,256,6617,18654,459
34,93522,16620430,3345261,19965691,256,11177,20735,844
40,42998,3424834,15404692,18829526,256,8202,24741,1626
202,112032,10883620,5063021,15946641,256,11489,31309,3586
25,24032,1965667,12218914,14184581,256,6059,18860,387
139,66116,5617726,8322422,13940148,256,9724,19179,14904
38,93205,8834201,4980885,13815086,256,10576,29012,2932
43,30588,6874641,3090190,9964831,256,7473,19451,651
97,45066,2885281,5288038,8173319,256,8608,18969,9131
41,56883,3554269,4156801,7711070,256,8034,21595,3654
33,51652,3000588,4103762,7104350,256,7943,21735,3040
37,39990,2018324,3356989,5375313,256,8304,21208,1275
230,28208,951019,4311736,5262755,256,6436,19037,416
12,36031,1461323,3419011,4880334,256,7358,18887,4929
185,24395,210656,4597477,4808133,256,6122,19031,418
18,32462,1504920,3052363,4557283,256,7443,18785,5747
193,35867,1387261,3117541,4504802,256,7872,20279,917
39,28721,1022852,3369731,4392583,256,6352,18707,1099
249,32137,994720,3379190,4373910,256,7779,19986,844
223,32337,1038580,3298959,4337539,256,7254,19392,5046
60,35518,1281431,2999897,4281328,256,7710,19190,702
189,33383,1178864,3035823,4214687,256,7722,19686,817
93,31380,1014088,3189989,4204077,256,7245,19281,4800
108,31279,1025704,3107391,4133095,256,7224,19086,5083
17,30331,859379,3269529,4128908,256,6583,18891,4693
